Organizations,Description,Vote,$ Available 2009-10,$ Spent 2009-10,$ Available 2010-11,$ Spent 2010-11,$ Available 2011-12,$ Spent 2011-12
Registry of the Competition Tribunal,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),160,0,493,0,493,0
Registry of the Public Servants Disclosure Protection Tribunal,Program expenditures,115,"1,726,200","834,790","1,726,200","848,136","1,827,258","1,559,962"
Registry of the Public Servants Disclosure Protection Tribunal,Contributions to employee benefit plans,(S),"109,113","109,113","92,172","92,172","126,641","126,642"
Registry of the Specific Claims Tribunal,Operating expenditures,50,"2,696,196","1,940,223","2,763,472","2,058,036","2,780,627","2,317,774"
Registry of the Specific Claims Tribunal,Contributions to employee benefit plans,(S),"62,189","62,189","107,236","107,236","116,502","116,502"
Registry of the Specific Claims Tribunal,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),342,0,456,0,114,0
Royal Canadian Mounted Police,Operating expenditures,45,"2,748,512,981","2,523,441,546","2,458,974,846","2,308,771,609","2,236,610,650","2,119,252,589"
Royal Canadian Mounted Police,Capital expenditures,50,"287,988,876","252,214,455","316,478,094","237,188,430","346,197,021","275,948,698"
Royal Canadian Mounted Police,"Grants and contributions, provided that the amount listed for any grant may be increased or decreased subject to the approval of the Treasury Board",55,"105,506,376","99,431,377","116,064,573","110,595,599","128,436,789","122,798,710"
Royal Canadian Mounted Police,Contributions to employee benefit plans,(S),"84,035,926","84,035,926","79,354,456","79,354,456","81,437,633","81,437,633"
Royal Canadian Mounted Police,Court Awards - Crown Liability and Proceedings Act,(S),,,,,"122,054","122,054"
Royal Canadian Mounted Police,Pensions and other employee benefits – Members of the Force,(S),"329,663,935","329,663,935","346,584,999","346,584,999","352,513,931","352,513,931"
Royal Canadian Mounted Police,"Pensions under the Royal Canadian Mounted Police Pension Continuation Act (R.S.C., 1970, c. R-10)",(S),"17,857,400","17,857,400","16,480,442","16,480,442","15,173,970","15,173,970"
Royal Canadian Mounted Police,Refunds of Previous Years Revenue,(S),"98,980","98,980","194,013","194,013","122,077","122,077"
Royal Canadian Mounted Police,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"9,714,389","5,257,824","14,026,225","8,241,095","12,792,868","7,206,149"
Royal Canadian Mounted Police External Review Committee,Program expenditures,60,"1,830,755","1,476,214","2,130,286","1,543,980","1,852,330","1,510,318"
Royal Canadian Mounted Police External Review Committee,Contributions to employee benefit plans,(S),"138,289","138,289","240,387","240,387","181,574","181,574"
Royal Canadian Mounted Police Public Complaints Commission,Program expenditures,65,"7,965,414","6,947,725","7,775,528","6,845,824","8,094,978","7,291,687"
Royal Canadian Mounted Police Public Complaints Commission,Contributions to employee benefit plans,(S),"601,776","601,776","618,179","618,179","589,215","589,215"
Security Intelligence Review Committee,Program expenditures,35,"2,899,932","2,123,008","2,856,068","2,400,019","3,090,159","2,536,074"
Security Intelligence Review Committee,Contributions to employee benefit plans,(S),"231,602","231,602","283,304","283,304","297,480","297,480"
Senate Ethics Officer,Program expenditures,20,"754,340","685,477","719,500","678,941","719,500","709,569"
Senate Ethics Officer,Contributions to employee benefit plans,(S),"99,222","99,222","96,964","96,964","89,873","89,873"
Shared Services Canada,Operating expenditures,17,,,,,"585,986,653","530,061,391"
Shared Services Canada,Capital expenditures,19,,,,,"59,338,097","54,660,910"
Shared Services Canada,"Telecommunications and Informatics Common  Services Revolving Fund - In accordance with section 12 of the Revolving Funds Act, to repeal section 5.2 of the said Act, as of March 31, 2012",21, ,,,,1,0
Shared Services Canada,Contributions to employee benefit plans,(S),,,,,"27,970,401","27,970,401"
Shared Services Canada,Pensions and other employee benefits – Members of the Force,(S),,,,,"1,243,731","1,243,731"
Shared Services Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),,,,,329,0
Shared Services Canada,Telecommunications and Informatics Common Services Revolving Fund,(S),,,,,"8,407,790","8,407,790"
Social Sciences and Humanities Research Council,Operating expenditures,90,"25,847,367","24,035,113","25,569,835","24,530,985","24,980,865","23,936,272"
Social Sciences and Humanities Research Council,Grants,95,"664,866,409","659,459,398","663,622,047","661,708,989","671,107,052","670,999,277"
Social Sciences and Humanities Research Council,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),,,"2,803","2,803",614,614
Social Sciences and Humanities Research Council,Contributions to employee benefit plans,(S),"2,938,943","2,938,943","2,853,148","2,853,148","2,917,498","2,917,498"
Social Sciences and Humanities Research Council,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),22,0,22,0,,
Standards Council of Canada,Payments to the Standards Council of Canada,100,"7,129,000","7,129,000","8,346,841","7,788,900","8,422,240","8,059,060"
Statistics Canada,Program expenditures,105,"460,233,027","432,104,779","523,432,748","498,807,442","709,583,632","657,703,834"
Statistics Canada,Contributions to employee benefit plans,(S),"76,984,109","76,984,109","76,388,561","76,388,561","86,351,955","86,351,955"
Statistics Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"4,063","4,063","12,655","12,655","56,055","56,055"
Supreme Court of Canada,Program expenditures,50,"23,439,147","21,289,959","23,815,609","22,523,077","24,330,899","23,023,637"
Supreme Court of Canada,Contributions to employee benefit plans,(S),"2,579,168","2,579,168","2,727,192","2,727,192","2,707,204","2,707,204"
Supreme Court of Canada,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office (R.S.C., 1985, c. J -1)",(S),"5,160,407","5,160,407","5,045,423","5,045,423","5,724,347","5,724,347"
Supreme Court of Canada,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"20,250","20,224","7,091",0,"8,002",0
Telefilm Canada,Payments to Telefilm Canada to be used for the purposes set out in the Telefilm Canada Act,120,"105,667,143","105,667,143","105,670,672","105,667,144","105,667,144","105,667,144"
The Jacques Cartier and Champlain Bridges Incorporated,Payments to the Jacques Cartier and Champlain Bridges Inc.,60,"107,419,938","78,238,999","121,539,001","89,999,001","153,887,000","97,329,991"
The Senate,Program expenditures,1,"58,659,050","55,400,729","59,490,350","53,464,529","59,490,350","56,793,395"
The Senate,Contributions to employee benefit plans,(S),"7,377,746","7,377,746","6,864,569","6,864,569","6,641,354","6,641,354"
The Senate,"Officers and Members of the Senate – Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account (R.S.C., 1985, c. M-5) ",(S),"27,422,721","27,422,721","28,047,542","28,047,542","26,544,931","26,544,931"
Transport,Operating expenditures,1,"448,660,169","398,949,926","672,244,094","646,967,841","626,321,153","594,715,998"
Transport,Capital expenditures,5,"182,947,813","106,630,994","225,388,258","84,428,378","93,857,621","69,167,107"
Transport,Grants and contributions,10,"740,606,240","302,761,744","850,176,749","351,197,635","721,222,520","365,023,967"
Transport,"Pursuant to section 24.1 of the Financial Administration Act, to forgive certain debts and accrued interest due to Her Majesty in Right of Canada amounting to $22,646,108 relating to the Saint John Harbour Bridge Authority",17, ,,,,"22,646,108","22,646,108"
Transport,Contributions to employee benefit plans,(S),"77,359,480","77,359,480","75,855,369","75,855,369","74,921,497","74,921,497"
Transport,Minister's Salary and Motor Car Allowance ,(S),"79,760","79,760","79,760","79,760","77,346","77,346"
Transport,"Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act (S.C., 1993, c. 43)",(S),"56,668,074","56,668,074","57,721,021","57,721,021","59,075,229","59,075,229"
Transport,"Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act (S.C., 1998, c. 10)",(S),"65,380,726","65,380,726","67,272,663","67,272,663","83,949,521","83,949,521"
Transport,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the roadway portion of the Bridge (Vote 107, Appropriation Act No. 5, 1963, S.C., 1963,c.42)",(S),"3,300,000","3,300,000","2,041,239","2,041,239","2,584,026","2,584,026"
Transport,Refunds of Previous Years Revenue,(S),"585,417","585,417",,,,
Transport,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"2,018,226",0,"7,116,858","2,433,696","9,030,166","9,030,166"
Transportation Appeal Tribunal of Canada,Program expenditures,65,"1,673,138","1,313,486","1,664,362","1,611,161","1,730,188","1,730,023"
Transportation Appeal Tribunal of Canada,Contributions to employee benefit plans,(S),"115,735","115,735","120,843","120,843","126,182","126,182"
Treasury Board Secretariat,Program expenditures,1,"263,987,580","242,086,248","262,655,826","254,958,502","299,631,271","279,490,244"
Treasury Board Secretariat,Government contingencies,5,"712,117,000",0,"230,667,641",0,"750,000,000",0
Treasury Board Secretariat,Government-wide initiatives,10,"7,511,368",0,"6,562,893",0,"8,510,893",0
Treasury Board Secretariat,Compensation adjustments,15,0,0,0,0,0,0
Treasury Board Secretariat,Public Service Insurance,20,"2,164,302,143","2,062,150,000","2,223,793,511","1,962,746,056","2,380,408,439","2,186,595,248"
Treasury Board Secretariat,Operating budget carry forward,25,"481,553,959",0,"128,041,265",0,"8,060,710",0
Treasury Board Secretariat,Paylist requirements,30,"4,543,358",0,"175,324,277",0,"361,781,109",0
Treasury Board Secretariat,Capital budget carry forward,33,,,,,"241,898,646",0
Treasury Board Secretariat,Budget Implementation Initiatives,35,"883,489,014",0,0,0,0,0
Treasury Board Secretariat,Contributions to employee benefit plans,(S),"31,286,036","31,286,036","30,465,702","30,465,702","32,071,416","32,071,416"
Treasury Board Secretariat,Contributions to Employee Benefit Plans - Treasury Board Residual,(S),"6,470,872","6,470,872","6,200,000","6,200,000","6,200,000","6,200,000"
Treasury Board Secretariat,Minister's Salary and Motor Car Allowance ,(S),"77,638","77,638","77,638","77,638","77,555","77,555"
Treasury Board Secretariat,Payments for the Pay Equity Settlement,(S),"-516,564","-516,564","-469,692","-469,692","72,162","72,162"
Treasury Board Secretariat,Payments under Earlier Superannuation Acts,(S),"2,448","2,448","1,830","1,830","1,552","1,552"
Treasury Board Secretariat,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"8,043",0,973,0,"24,409",0
Veterans Affairs,Operating expenditures,1,"967,821,423","912,448,307","945,195,200","912,328,739","999,784,056","941,565,911"
Veterans Affairs,Capital expenditures,5,"11,103,000","9,038,000",,,,
Veterans Affairs,Grants and contributions,5,"2,493,593,000","2,432,439,341","2,554,705,000","2,546,405,035","2,624,930,000","2,511,656,858"
Veterans Affairs,Contributions to employee benefit plans,(S),"45,398,213","45,398,213","44,256,549","44,256,549","43,663,674","43,663,674"
Veterans Affairs,Contributions to employee benefit plans,(S),"1,772,288","1,772,288","1,691,484","1,691,484",,
Veterans Affairs,Court Awards - Crown Liability and Proceedings Act,(S),"17,312","17,312","20,016","20,016","24,190","24,190"
Veterans Affairs,Losses on Foreign Exchange,(S),"8,043","8,043",,,,
Veterans Affairs,Minister's Salary and Motor Car Allowance ,(S),"74,925","74,925","77,638","77,638","77,516","77,516"
Veterans Affairs,Refunds of Previous Years Revenue,(S),"501,051","501,051","132,825","132,825","66,707","66,707"
Veterans Affairs,Returned Soldiers Insurance Actuarial Liability Adjustment,(S),"1,291","1,291","1,302","1,302",,
Veterans Affairs,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"50,087","41,887","19,425","19,425","21,257","15,257"
Veterans Affairs,Veterans Insurance Actuarial Liability Adjustment,(S),"135,244","135,244","62,699","62,699","17,137","17,137"
Veterans Review and Appeal Board,Program expenditures,10,"10,573,229","10,371,196","10,406,203","10,399,375","11,231,700","11,060,985"
Veterans Review and Appeal Board,Contributions to employee benefit plans,(S),,,,,"1,685,313","1,685,313"
VIA Rail Canada Inc.,Payments to VIA Rail Canada Inc.,70,"476,917,000","387,290,756","644,521,000","527,200,000","556,309,000","493,795,244"
Western Economic Diversification,Operating expenditures,1,"59,483,110","54,990,548","60,297,506","54,474,589","52,283,212","48,751,070"
Western Economic Diversification,Grants and contributions,5,"277,461,456","226,147,411","405,316,374","387,357,691","155,097,519","135,846,496"
Western Economic Diversification,Collection Agency Fees under section 17.1 of the Financial Administration Act,(S),"11,989","11,989",207,207,,
Western Economic Diversification,Contributions to employee benefit plans,(S),"6,712,167","6,712,167","6,656,408","6,656,408","6,182,424","6,182,424"
Western Economic Diversification,Minister's Salary and Motor Car Allowance ,(S),"2,122","2,122","2,122","2,122","2,020","2,020"
Western Economic Diversification,Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets,(S),"2,262","2,262",332,332,"12,747","1,471"
Western Economic Diversification,Transfer Payments in Connection with the Budget Implementation Act,(S),"133,437,000","133,437,000","18,000,000","18,000,000","4,500,000","4,500,000"
